FECHA (YYMMDD);HORA (HHMM);;
040114;0500;0,454288;
040114;0600;0,566166;
040114;0700;0,33386;
040114;0800;1,23145;
040114;0900;0,811911;
040114;1000;1,2727;
040114;1100;1,71059;
040114;1200;1,66173;
040114;1300;1,93139;
040114;1400;1,98397;
040114;1500;1,63123;
040114;1600;1,61988;
040114;1700;1,50437;
040114;1800;1,27273;
040114;1900;1,10556;
040114;2000;1,05515;
040114;2100;0,618991;
040114;2200;0,39579;
040114;2300;0,551569;
040115;0000;0,714338;
040115;0100;1,40707;
040115;0200;0,302598;
040115;0300;1,03516;
040115;0400;0,647386;
040115;0500;0,63306;
040115;0600;0,673429;
040115;0700;0,421747;
040115;0800;0,507417;
040115;0900;0,542724;
040115;1000;0,86721;
040115;1100;1,14134;
040115;1200;1,11864;
040115;1300;1,31155;
040115;1400;1,29563;
040115;1500;1,26577;
040115;1600;1,42684;
040115;1700;1,50568;
040115;1800;1,16898;
040115;1900;1,20098;
040115;2000;0,72226;
040115;2100;0,730639;
040115;2200;0,356429;
040115;2300;0,512546;
040116;0000;0,668382;
040116;0100;0,757566;
040116;0200;0,508743;
040116;0300;0,574039;
040116;0400;0,376419;
040116;0500;0,546412;
040116;0600;0,388644;
040116;0700;0,488932;
040116;0800;0,363676;
040116;0900;0,82444;
040116;1000;0,789186;
040116;1100;1,32606;
040116;1200;1,6191;
040116;1300;1,75769;
040116;1400;1,63464;
040116;1500;1,36866;
040116;1600;1,66003;
040116;1700;1,41569;
040116;1800;1,24341;
040116;1900;0,873631;
040116;2000;0,634636;
040116;2100;0,735728;
040116;2200;0,627644;
040116;2300;0,159922;
040117;0000;0,908527;
040117;0100;0,797123;
040117;0200;0,298294;
040117;0300;0,538774;
040117;0400;0,251266;
040117;0500;0,483563;
040117;0600;0,504901;
040117;0700;0,533274;
040117;0800;0,994239;
040117;0900;0,726089;
040117;1000;0,87314;
040117;1100;1,09823;
040117;1200;1,35669;
040117;1300;1,4844;
040117;1400;1,85293;
040117;1500;1,81024;
040117;1600;2,60147;
040117;1700;2,52183;
040117;1800;2,03069;
040117;1900;1,75768;
040117;2000;0,630648;
040117;2100;0,240014;
040117;2200;0,469309;
040117;2300;0,552053;
040118;0000;0,301227;
040118;0100;0,324468;
040118;0200;0,378375;
040118;0300;0,112108;
040118;0400;0,330855;
040118;0500;0,485428;
040118;0600;0,141021;
040118;0700;0,515481;
