FECHA (YYMMDD);HORA (HHMM);;
040103;2100;21,925;
040103;2200;21,475;
040103;2300;20,3;
040104;0000;19,3666;
040104;0100;18,8167;
040104;0200;17,85;
040104;0300;16,9833;
040104;0400;16,3916;
040104;0500;16;
040104;0600;16,825;
040104;0700;19,7666;
040104;0800;22,1166;
040104;0900;24,3333;
040104;1000;26,3;
040104;1100;28,3666;
040104;1200;29,7666;
040104;1300;30,3916;
040104;1400;30,4167;
040104;1500;30,6;
040104;1600;29,4583;
040104;1700;27,7416;
040104;1800;25,7333;
040104;1900;23,8167;
040104;2000;21,4417;
040104;2100;20,3666;
040104;2200;19,075;
040104;2300;17,5667;
040105;0000;16,9333;
040105;0100;16,85;
040105;0200;16,425;
040105;0300;15,875;
040105;0400;15,55;
040105;0500;15,2583;
040105;0600;16,375;
040105;0700;18,95;
040105;0800;20,6416;
040105;0900;22,8083;
040105;1000;25,2083;
040105;1100;26,9666;
040105;1200;28,7166;
040105;1300;29,55;
040105;1400;30,0833;
040105;1500;30,7363;
040105;1600;30,6583;
040105;1700;30,0916;
040105;1800;29,075;
040105;1900;26,7666;
040105;2000;24,3;
040105;2100;22,9583;
040105;2200;21,925;
040105;2300;20,7916;
040106;0000;19,9583;
040106;0100;19,175;
040106;0200;18,5;
040106;0300;17,425;
040106;0400;16,6583;
040106;0500;16,3916;
040106;0600;17,1333;
040106;0700;21,4333;
040106;0800;23,1;
040106;0900;24,6166;
040106;1000;26,775;
040106;1100;27,875;
040106;1200;28,9833;
040106;1300;30,0083;
040106;1400;30,4417;
040106;1500;30,1416;
040106;1600;29,8167;
040106;1700;28,875;
040106;1800;27,3;
040106;1900;24,975;
040106;2000;22,175;
040106;2100;20,55;
040106;2200;19,5833;
040106;2300;19,0416;
040107;0000;18,3333;
040107;0100;17,6583;
040107;0200;17,1416;
040107;0300;16,6833;
040107;0400;16,15;
040107;0500;15,7917;
040107;0600;16,6166;
040107;0700;20,3916;
040107;0800;22,2083;
040107;0900;24,2166;
040107;1000;26,2;
040107;1100;27,575;
040107;1200;28,3833;
040107;1300;28,725;
040107;1400;29,6416;
040107;1500;29,7833;
040107;1600;29,175;
040107;1700;28,1833;
040107;1800;27,3083;
040107;1900;25,1666;
040107;2000;22,5833;
040107;2100;21,3167;
040107;2200;20,575;
040107;2300;19,6583;
040108;0000;18,975;
040108;0100;18,55;
040108;0200;18,0833;
040108;0300;17,725;
040108;0400;17,2333;
040108;0500;16,7833;
040108;0600;17,8416;
040108;0700;20,525;
040108;0800;22,7583;
040108;0900;24,4666;
040108;1000;26,0417;
040108;1100;27,3167;
040108;1200;27,95;
040108;1300;28,525;
040108;1400;28,225;
040108;1500;28,0417;
040108;1600;28,1416;
040108;1700;27,3;
040108;1800;26,2333;
040108;1900;24,0916;
040108;2000;21,975;
040108;2100;20,9;
040108;2200;20,075;
040108;2300;19,6416;
040109;0000;19,1083;
040109;0100;18,4083;
040109;0200;17,6833;
040109;0300;17,125;
040109;0400;16,65;
040109;0500;16,125;
040109;0600;16,7;
040109;0700;19,4666;
040109;0800;21,2666;
040109;0900;23,3167;
040109;1000;25,575;
040109;1100;27,6333;
040109;1200;28,7083;
040109;1300;29,7272;
040109;1400;30,5454;
040109;1500;31,3833;
040109;1600;30,9666;
040109;1700;30,6917;
040109;1800;29,4333;
040109;1900;27,4083;
040109;2000;25,2583;
040109;2100;24,0583;
040109;2200;23,175;
040109;2300;22,25;
040110;0000;21,475;
040110;0100;20,7833;
040110;0200;19,8833;
040110;0300;18,925;
040110;0400;18,2;
040110;0500;17,9417;
040110;0600;18,4083;
040110;0700;21,725;
040110;0800;23,15;
040110;0900;25,1333;
040110;1000;27,2;
040110;1100;28,8833;
040110;1200;29,775;
040110;1300;31,1667;
040110;1400;31,85;
040110;1500;32,1749;
040110;1600;32,2833;
040110;1700;31,7083;
040110;1800;30,75;
040110;1900;29,0583;
040110;2000;26,4833;
040110;2100;24,9583;
040110;2200;23,8333;
040110;2300;22,7166;
040111;0000;21,8083;
040111;0100;20,7333;
040111;0200;19,6917;
040111;0300;18,825;
040111;0400;18,2;
040111;0500;17,525;
040111;0600;18,0417;
040111;0700;22,775;
040111;0800;24,6166;
040111;0900;27,2916;
040111;1000;29,425;
040111;1100;30,8;
040111;1200;31,8583;
040111;1300;31,9583;
040111;1400;32,4457;
040111;1500;32,5499;
040111;1600;31,6166;
040111;1700;29,9166;
040111;1800;28,6833;
040111;1900;26,7833;
040111;2000;24,325;
040111;2100;22,7083;
040111;2200;21,6583;
040111;2300;20,7833;
040112;0000;20,2416;
040112;0100;19,2;
040112;0200;18,275;
040112;0300;17,6917;
040112;0400;17,2333;
040112;0500;16,7917;
040112;0600;17,3167;
040112;0700;21,0667;
040112;0800;23,0916;
040112;0900;24,8;
040112;1000;26,6333;
040112;1100;28,4666;
040112;1200;29,775;
040112;1300;30,3083;
040112;1400;30,2833;
040112;1500;30,3583;
040112;1600;30,3;
040112;1700;29,1666;
040112;1800;27,2666;
040112;1900;24,55;
040112;2000;22,2;
040112;2100;21,3;
040112;2200;20,65;
040112;2300;20,125;
040113;0000;19,5833;
