FECHA (YYMMDD);HORA (HHMM);;
040115;0700;80,8333;
040115;0800;70,75;
040115;0900;70;
040115;1000;61,1666;
040115;1100;51,8333;
040115;1200;47,25;
040115;1300;45,1666;
040115;1400;41,75;
040115;1500;39;
040115;1600;41,3333;
040115;1700;48,3333;
040115;1800;54,6666;
040115;1900;60,25;
040115;2000;65,0833;
040115;2100;67,5;
040115;2200;70,0833;
040115;2300;71,75;
040116;0000;71;
040116;0100;74,1667;
040116;0200;76,8333;
040116;0300;77,9167;
040116;0400;77,5833;
040116;0500;80,6664;
040116;0600;80,0833;
040116;0700;75,25;
040116;0800;72,0833;
040116;0900;66,3333;
040116;1000;57,1666;
040116;1100;54,5833;
040116;1200;55,1666;
040116;1300;56,5833;
040116;1400;54,75;
040116;1500;51,9166;
040116;1600;50,6666;
040116;1700;50,6666;
040116;1800;53;
040116;1900;56,0833;
040116;2000;60,0833;
040116;2100;63,8333;
040116;2200;66,75;
040116;2300;68,0833;
040117;0000;68,0833;
040117;0100;71,5833;
040117;0200;75,5;
040117;0300;78,75;
040117;0400;79,25;
040117;0500;82,8333;
040117;0600;80,6664;
040117;0700;67,4164;
040117;0800;61,6666;
040117;0900;55,3333;
040117;1000;48,75;
040117;1100;42,3333;
040117;1200;36,8333;
040117;1300;32,25;
040117;1400;32,75;
040117;1500;29,1667;
040117;1600;31,6667;
040117;1700;37,5833;
040117;1800;40;
040117;1900;44,8333;
040117;2000;50,9166;
040117;2100;55,8333;
040117;2200;58,5833;
040117;2300;62,25;
040118;0000;65,9164;
040118;0100;68,75;
040118;0200;71,9164;
040118;0300;72,5833;
040118;0400;75,25;
040118;0500;75,8333;
040118;0600;75,8333;
040118;0700;69,5833;
040118;0800;59,25;
040118;0900;50,5;
040118;1000;42,0833;
040118;1100;38,0833;
040118;1200;36,75;
040118;1300;31,6667;
040118;1400;25;
040118;1500;24,8333;
040118;1600;28,6667;
040118;1700;30,3333;
040118;1800;33,5833;
040118;1900;38,9166;
040118;2000;45;
040118;2100;49,5833;
040118;2200;49,75;
040118;2300;47,5833;
040119;0000;49;
040119;0100;58,6666;
040119;0200;65,25;
040119;0300;67;
040119;0400;69,3333;
040119;0500;71,8333;
040119;0600;69,5;
040119;0700;49,0833;
040119;0800;43,0833;
040119;0900;39,25;
040119;1000;35,75;
040119;1100;33,75;
040119;1200;31,9167;
040119;1300;28,75;
040119;1400;24,3333;
040119;1500;21,1667;
040119;1600;21;
040119;1700;27,5;
040119;1800;34,5833;
040119;1900;39,9166;
040119;2000;46,6666;
040119;2100;50,5833;
040119;2200;54;
040119;2300;54,25;
040120;0000;55,1666;
040120;0100;59,3333;
040120;0200;70,6664;
040120;0300;79,75;
040120;0400;84,5;
040120;0500;92;
040120;0600;91,75;
040120;0700;75,6664;
040120;0800;62,8333;
040120;0900;55,0833;
040120;1000;47,0833;
040120;1100;42,3333;
040120;1200;39,6666;
040120;1300;36,75;
040120;1400;34,3333;
040120;1500;30,25;
040120;1600;31,9167;
040120;1700;36,0833;
040120;1800;40,6666;
040120;1900;46,5833;
040120;2000;53,0833;
040120;2100;56;
040120;2200;57,75;
040120;2300;60,5;
040121;0000;62,3333;
040121;0100;65,3333;
040121;0200;68,75;
040121;0300;69,4164;
040121;0400;72;
040121;0500;74,5833;
040121;0600;74;
040121;0700;59,0833;
040121;0800;52,5;
040121;0900;48;
040121;1000;43,5;
040121;1100;40,1666;
040121;1200;38,3333;
040121;1300;37,0833;
040121;1400;35,1666;
040121;1500;34,5;
040121;1600;36,1666;
040121;1700;39,3333;
040121;1800;42,9166;
040121;1900;50,3333;
040121;2000;57,4166;
040121;2100;63,6666;
040121;2200;66,5833;
040121;2300;67,5833;
040122;0000;65,5833;
040122;0100;68,5833;
040122;0200;71,0833;
040122;0300;74,0833;
040122;0400;77,8333;
040122;0500;77,8333;
040122;0600;77,3333;
040122;0700;68,25;
040122;0800;59,9166;
040122;0900;50,6666;
040122;1000;43;
040122;1100;38,3333;
040122;1200;36,5;
040122;1300;37;
040122;1400;35,25;
040122;1500;33,9166;
040122;1600;34,6666;
040122;1700;37,0833;
040122;1800;39,9166;
040122;1900;45,6666;
040122;2000;51,5;
040122;2100;55,6666;
040122;2200;57,5;
040122;2300;59,9166;
040123;0000;63,5833;
040123;0100;65;
040123;0200;69,8333;
040123;0300;71,9164;
040123;0400;72,8333;
040123;0500;77,5833;
040123;0600;76,5;
040123;0700;65,3333;
040123;0800;54,1666;
040123;0900;47,9166;
040123;1000;43,4166;
040123;1100;40,5833;
040123;1200;38,75;
040123;1300;38,4166;
040123;1400;36,0833;
040123;1500;34,5;
040123;1600;35,5833;
040123;1700;37,5;
040123;1800;40,9166;
040123;1900;46,5833;
040123;2000;52,3333;
040123;2100;55,0833;
040123;2200;56,1667;
040123;2300;57,75;
040124;0000;61,3333;
040124;0100;62,25;
040124;0200;64,75;
040124;0300;66,0833;
040124;0400;70,5;
040124;0500;73,5;
040124;0600;73,75;
040124;0700;60,8333;
040124;0800;51,1666;
040124;0900;47,6666;
040124;1000;42,6666;
040124;1100;38,5833;
040124;1200;34,8333;
040124;1300;34,4166;
040124;1400;32,9166;
040124;1500;28,0833;
040124;1600;31,0833;
040124;1700;35,5;
040124;1800;37,5;
040124;1900;41,9166;
040124;2000;47,5833;
040124;2100;52;
040124;2200;53,9166;
040124;2300;52,5;
040125;0000;54,1666;
040125;0100;57,6666;
040125;0200;65,4164;
040125;0300;66,8333;
040125;0400;70,4164;
040125;0500;71,9164;
040125;0600;72,4164;
040125;0700;56,3333;
040125;0800;47;
040125;0900;41,9166;
040125;1000;37,4166;
040125;1100;35,0833;
040125;1200;35;
040125;1300;33,3333;
040125;1400;30;
040125;1500;28,9167;
040125;1600;31,5;
040125;1700;37,1666;
040125;1800;41,4166;
040125;1900;48,1666;
040125;2000;54,3333;
040125;2100;58,4166;
040125;2200;63,0833;
040125;2300;67,1664;
040126;0000;71,5833;
040126;0100;74,5833;
040126;0200;76,0833;
040126;0300;76,9164;
040126;0400;79;
040126;0500;79,8333;
040126;0600;79;
040126;0700;68;
040126;0800;60,1666;
040126;0900;53;
040126;1000;48,5;
040126;1100;43,3333;
040126;1200;40,1666;
040126;1300;36,3333;
040126;1400;33,4166;
040126;1500;29,75;
040126;1600;32;
040126;1700;36,9166;
040126;1800;41,1666;
040126;1900;46,9166;
040126;2000;52,4166;
040126;2100;55,9166;
040126;2200;58,6666;
040126;2300;62,0833;
040127;0000;63,5;
040127;0100;67,1664;
040127;0200;69,75;
040127;0300;71,6664;
040127;0400;73,25;
